# Badlands
# Built around Black Foxxes' "Badlands": tense, beat-driven alt-rock with fuzzy/shoegaze texture,
# post-punk repetition, emotional weight, and long dynamic builds.

# Anchor
Black Foxxes | Badlands

# Closest modern relatives: angular, heavy, atmospheric
Arcane Roots | Curtains
Arcane Roots | Matter
Black Peaks | Glass Built Castles
Black Peaks | Home
Lonely the Brave | The Blue, The Green
Lonely the Brave | Trick of the Light
Teenage Wrist | Stoned, Alone
Teenage Wrist | Earth Is a Black Hole
Boston Manor | Halo
Boston Manor | Foxglove
Nothing But Thieves | Itch

# Brooding repetition / post-punk pulse
Placebo | Without You I'm Nothing
Placebo | Meds
Radiohead | Myxomatosis
Radiohead | Bodysnatchers
Blood Red Shoes | Cold
Blood Red Shoes | An Animal

# Fuzz, space, and slow-burn payoff
Failure | Another Space Song
Hum | Stars
Queens of the Stone Age | I Appear Missing
Tigercub | Beauty
Demob Happy | Dead Dreamers

# Same Black Foxxes era, keeping the playlist tied to the source atmosphere
Black Foxxes | I Am
Black Foxxes | The Diving Bell
